--;0.00%;0.00%;0B / 0B;0B / 0B;0B / 0B;0a47bf81cddc8 ;00:07:11
beautiful_borg;47.07%;1.76%;137.9MiB / 7.667GiB;129kB / 15.3kB;16.4MB / 98.3kB;72a47bf81cddc8 ;00:07:13
beautiful_borg;11.91%;1.64%;128.5MiB / 7.667GiB;982kB / 71.1kB;16.4MB / 98.3kB;71a47bf81cddc8 ;00:07:15
beautiful_borg;4.61%;1.63%;127.6MiB / 7.667GiB;1MB / 79.1kB;16.4MB / 123kB;71a47bf81cddc8 ;00:07:17
beautiful_borg;59.97%;1.94%;152.6MiB / 7.667GiB;1.52MB / 105kB;16.4MB / 123kB;76a47bf81cddc8 ;00:07:19
beautiful_borg;15.58%;1.58%;124.2MiB / 7.667GiB;2.27MB / 152kB;16.4MB / 123kB;71a47bf81cddc8 ;00:07:21
beautiful_borg;75.78%;1.57%;123.1MiB / 7.667GiB;3.25MB / 238kB;16.4MB / 123kB;71a47bf81cddc8 ;00:07:23
beautiful_borg;43.58%;1.87%;146.9MiB / 7.667GiB;3.87MB / 273kB;16.4MB / 123kB;77a47bf81cddc8 ;00:07:25
beautiful_borg;6.34%;1.61%;126.1MiB / 7.667GiB;4.24MB / 331kB;16.4MB / 123kB;72a47bf81cddc8 ;00:07:27
beautiful_borg;39.74%;1.75%;137.1MiB / 7.667GiB;4.44MB / 349kB;16.4MB / 15.1MB;72a47bf81cddc8 ;00:07:29
beautiful_borg;68.11%;1.79%;140.3MiB / 7.667GiB;5.49MB / 423kB;16.4MB / 15.1MB;76a47bf81cddc8 ;00:07:31
beautiful_borg;13.16%;1.64%;128.5MiB / 7.667GiB;6.3MB / 469kB;16.4MB / 15.1MB;72a47bf81cddc8 ;00:07:33
beautiful_borg;6.35%;1.64%;128.5MiB / 7.667GiB;6.31MB / 474kB;16.4MB / 15.1MB;72a47bf81cddc8 ;00:07:35
beautiful_borg;143.89%;1.59%;124.9MiB / 7.667GiB;7.54MB / 553kB;16.4MB / 15.1MB;66a47bf81cddc8 ;00:07:37
beautiful_borg;64.38%;2.07%;162.7MiB / 7.667GiB;8.4MB / 590kB;16.4MB / 15.2MB;80a47bf81cddc8 ;00:07:39
beautiful_borg;6.52%;1.67%;131.2MiB / 7.667GiB;8.61MB / 630kB;16.4MB / 15.2MB;72a47bf81cddc8 ;00:07:41
beautiful_borg;95.32%;2.20%;172.9MiB / 7.667GiB;9.6MB / 666kB;16.4MB / 15.2MB;79a47bf81cddc8 ;00:07:43
beautiful_borg;135.04%;1.57%;123.5MiB / 7.667GiB;10.6MB / 783kB;16.4MB / 15.2MB;57a47bf81cddc8 ;00:07:45
beautiful_borg;138.23%;2.22%;174MiB / 7.667GiB;12.6MB / 918kB;16.5MB / 15.2MB;76a47bf81cddc8 ;00:07:47
beautiful_borg;57.10%;2.03%;159.3MiB / 7.667GiB;13.7MB / 1.01MB;16.5MB / 15.2MB;77a47bf81cddc8 ;00:07:49
beautiful_borg;6.45%;1.73%;135.6MiB / 7.667GiB;13.7MB / 1.07MB;16.5MB / 15.2MB;69a47bf81cddc8 ;00:07:51
beautiful_borg;14.97%;1.76%;138.2MiB / 7.667GiB;14.7MB / 1.16MB;16.5MB / 15.2MB;69a47bf81cddc8 ;00:07:53
beautiful_borg;64.17%;2.05%;160.9MiB / 7.667GiB;15.4MB / 1.19MB;16.5MB / 15.2MB;76a47bf81cddc8 ;00:07:55
beautiful_borg;26.14%;1.85%;145.6MiB / 7.667GiB;15.8MB / 1.25MB;16.5MB / 15.2MB;76a47bf81cddc8 ;00:07:57
beautiful_borg;62.51%;1.80%;141.6MiB / 7.667GiB;16.6MB / 1.32MB;16.5MB / 15.2MB;75a47bf81cddc8 ;00:07:59
